,sentences,entity_1_mention,entity_2_mention,type,kfold
169,"the imputability of this interaction to both natural products, as determined by the naranjo algorithm, suggests a probable association between boldo-<e1> fenugreek </e1> and increased bleeding time in patients treated with <e2> warfarin </e2>",fenugreek,warfarin,POSITIVE,2
170,"anticoagulants, nsaids, <e1> anti-platelet agents </e1>: <e2> lavender </e2> contains varying amounts of coumarins and may therefore theoretically increase the effect of anticoagulant medications",anti-platelet agents,lavender,POSITIVE,2
171,".05 vs <e2> glibenclamide </e2> monotherapy) and 43% reduction of hba(1c) (p < 0.001 vs before treatment, p < 0.01 vs <e1> sesame </e1> oil monotherapy, p < 0",sesame,glibenclamide,POSITIVE,2
172,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, <e2> alprazolam </e2>, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",ginko biloba,alprazolam,POSITIVE,2
173,"by taking advantage of the high protein binding of <e1> chan su </e1> and only 25% protein binding of <e2> digoxin </e2>, we further demonstrated that positive interference of <e1> chan su </e1> in the fpia and negative interference of <e1> chan su </e1> in the meia of <e2> digoxin </e2> could be eliminated by monitoring the free <e2> digoxin </e2> concentration",chan su,digoxin,POSITIVE,2
174,"however, both <e1> danggui </e1> and honghua significantly potentiated the prolongation caused by <e2> clopidogrel </e2> on the tail bleeding time and pt. conclusions: <e1> danggui </e1> and honghua possess antithrombotic activity and cannot potentiate the antithrombotic effect of <e2> clopidogrel </e2>",danggui,clopidogrel,POSITIVE,2
175,inhibition of major human <e1> cytochrome p450 </e1> enzymes by a standardized <e2> hop </e2> extract and isolated <e2> hop </e2> prenylated phenols was evaluated using a fast and efficient assay based on ultrahigh pressure liquid chromatography-tandem mass spectrometry,cytochrome p450,hop,POSITIVE,2
176,.23) for <e1> ginger </e1> coadministration suggesting these herbs did not affect <e2> cyp2c9 </e2> activity,ginger,cyp2c9,NEGATIVE,2
177,".2 μm, whereas <e1> 8-prenylnaringenin </e1> was the most potent inhibitor of <e2> cyp1a2 </e2>, cyp2c9 and cyp2c19 with ic50 values of 1",8-prenylnaringenin,cyp1a2,POSITIVE,2
178,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, <e2> saquinavir </e2>, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",ginko biloba,saquinavir,POSITIVE,2
179,"<e1> radix bupleuri </e1> and vinegar-baked <e1> radix bupleuri </e1> have strong induction effects on the cyp2e1, <e2> cyp2d6 </e2> and cyp3a4, however, have no impact on cyp1a2",radix bupleuri,cyp2d6,POSITIVE,2
180,".01) by <e1> grapefruit </e1> juice. conclusions: even one glass of <e1> grapefruit </e1> juice, taken daily, considerably increases the plasma concentrations of <e2> simvastatin </e2> and <e2> simvastatin </e2> acid",grapefruit,simvastatin,POSITIVE,2
181,the aim of this study was to evaluate the effectiveness of <e1> sesame </e1> oil with anti-diabetic (<e2> glibenclamide </e2>) medication as combination therapy in mild-to moderate diabetic patients,sesame,glibenclamide,SPECULATIVE,2
182,"aim: to examine the growth inhibitory effects of <e1> phyllanthus emblica </e1> (p. emblica) and terminalia bellerica (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with <e2> doxorubicin </e2> or cisplatin",phyllanthus emblica,doxorubicin,SPECULATIVE,2
183,"however, if potential drug interactions are to be predicted, it is essential that the ability of <e1> herbal products </e1> to interfere with <e2> drug-metabolizing enzyme </e2> systems is fully established",herbal products,drug-metabolizing enzyme,SPECULATIVE,2
184,".2 μm, whereas <e1> 8-prenylnaringenin </e1> was the most potent inhibitor of cyp1a2, <e2> cyp2c9 </e2> and cyp2c19 with ic50 values of 1",8-prenylnaringenin,cyp2c9,POSITIVE,2
185,intake of <e1> st john's wort </e1> increases the expression of intestinal <e2> p-glycoprotein </e2> and the expression of cyp3a4 in the liver and intestine,st john's wort,p-glycoprotein,POSITIVE,2
186,"after stopping treatment with <e1> st john's wort </e1>, <e2> cyclosporine </e2> blood levels remained within the therapeutic range",st john's wort,cyclosporine,POSITIVE,2
187,aim: the present study was conducted to investigate the effect of commonly used herb <e1> commiphora myrrha </e1> on the pharmacokinetic profile of theophylline (<e2> narrow therapeutic index drug </e2>) in rabbits,commiphora myrrha,narrow therapeutic index drug,SPECULATIVE,2
188,"the <e1> hop </e1> extract at 5 μg/ml inhibited cyp2c8 (93%), <e2> cyp2c9 </e2> (88%), cyp2c19 (70%), and cyp1a2 (27%) with ic50 values of 0",hop,cyp2c9,POSITIVE,2
189,"aims: herbal products, spices and/or fruits are perceived as inherently healthy; for instance, <e1> st. john's wort </e1> (sjw) is marketed as a natural antidepressant and patients often self-administer it concomitantly with <e2> oncology medications </e2>",st. john's wort,oncology medications,SPECULATIVE,2
190,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, <e2> cyclosporine </e2>, tacrolimus, irinotecan, and imatinib in humans have been reported",ginko biloba,cyclosporine,POSITIVE,2
191,"it is unclear whether some component of the <e1> ginseng </e1> was converted to <e2> digoxin </e2> in vivo, interfered with <e2> digoxin </e2> elimination or caused a false serum assay result",ginseng,digoxin,SPECULATIVE,2
192,". results: compared with placebo, the curcuminoid/<e1> piperine </e1> treatment produced no meaningful changes in plasma c(max), auc, clearance, elimination half-life or metabolite levels of <e2> midazolam </e2>, flurbiprofen or paracetamol (α = 0",piperine,midazolam,NEGATIVE,2
193,"in vitro studies from our laboratory suggest that short-term exposure with pure herbal agents such as hypericin, <e1> kaempferol </e1> and quercetin or extract of sjw resulted in higher uptake or influx of <e2> ritonavir </e2> and erythromycin",kaempferol,ritonavir,POSITIVE,2
194,coadministration of <e1> honghua </e1> and <e2> clopidogrel </e2> resulted in a 63,honghua,clopidogrel,POSITIVE,2
195,"aim of the study: the antithrombotic effect of <e1> danggui </e1> and honghua, herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thrombosis, and their potential interactions with <e2> clopidogrel </e2> were investigated",danggui,clopidogrel,SPECULATIVE,2
196,". emblica) and terminalia bellerica (<e1> t. bellerica </e1>) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with <e2> doxorubicin </e2> or cisplatin",t. bellerica,doxorubicin,SPECULATIVE,2
197,"aim: to determine whether customary exposure to <e1> grapefruit </e1> juice (gfj) alters serum concentrations, effectiveness, and potential adverse effects of <e2> atorvastatin </e2> in patients requiring the medication",grapefruit,atorvastatin,SPECULATIVE,2
198,"herbal medicine regimens containing <e1> radix bupleuri </e1>, fructus gardenia, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with <e2> quetiapine </e2>, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",radix bupleuri,quetiapine,POSITIVE,2
199,"prospective simulations with grapefruit juice and <e1> turmeric </e1> showed clinically minor to insignificant changes in exposure (<1.50-fold) to acalabrutinib, osimertinib and <e2> olaparib </e2>, but predicted 1",turmeric,olaparib,POSITIVE,2
200,"for example, induction of cyp3a4 by <e1> st. john's wort </e1> may partly provide an explanation for the enhanced plasma clearance of a number of drugs, such as <e2> cyclosporine </e2> and innadivir, which are known substrates of cyp3a4, although other mechanisms including modulation of gastric absorption and drug transporters cannot be ruled out",st. john's wort,cyclosporine,POSITIVE,2
201,<e1> felodipine </e1> 10 mg extended release was administered with 250 ml regular-strength <e2> grapefruit </e2> juice or water in a randomized crossover manner followed by a second <e2> grapefruit </e2> juice treatment in 12 healthy men,felodipine,grapefruit,SPECULATIVE,2
202,"the mean (95% ci) apparent clearances of <e1> s-warfarin </e1> after warfarin alone, with <e2> ginkgo </e2> or ginger were 189 (167-210) ml h(-1), 200 (173-227) ml h(-1) and 201 (171-231) ml h(-1), respectively",s-warfarin,ginkgo,SPECULATIVE,2
203,"anticoagulants, <e2> nsaids </e2>, anti-platelet agents: lavender contains varying amounts of <e1> coumarins </e1> and may therefore theoretically increase the effect of anticoagulant medications",coumarins,nsaids,POSITIVE,2
204,"moreover, ligustilide, schisantherin a, berberine hydrochloride and <e1> trans-resveratrol </e1> were identified for the first time as efficacious pxr agonists. conclusions: twenty-two tcm ethanol extracts and eight bioactive compounds could activate pxr signalling pathway and induce <e2> cyp3a4 </e2> reporter gene",trans-resveratrol,cyp3a4,POSITIVE,3
205,"although <e1> st. john's wort </e1> probably does not interact with foods that contain tyramine, it should not be used with prescription <e2> antidepressants </e2>",st. john's wort,antidepressants,POSITIVE,3
206,plasma concentrations of simvastatin and <e1> simvastatin acid </e1> were determined up to 24 h. results: <e2> grapefruit </e2> juice increased the area under the plasma concentration-time curves from 0 to 24 h [auc(0-24)] of simvastatin 3.6-fold (range 1.8-6.0-fold; p < 0.01) and that of <e1> simvastatin acid </e1> 3,simvastatin acid,grapefruit,POSITIVE,3
207,the cardiovascular and central nervous system (cns) stimulant effects of monoamine oxidase inhibitors (maoi) and <e2> amphetamine-like drugs </e2> have been described to be enhanced by <e1> khat </e1> chewing,khat,amphetamine-like drugs,POSITIVE,3
208,.63 ng/ml <e2> digoxin </e2>) increase in <e2> digoxin </e2> concentration when an aliquot of <e2> digoxin </e2> pool 1 (1.10 ng/ml <e2> digoxin </e2>) was supplemented with 50 microl of <e1> asian ginseng </e1> extract (brand 2),asian ginseng,digoxin,POSITIVE,3
209,"for example, induction of cyp3a4 by <e1> st. john's wort </e1> may partly provide an explanation for the enhanced plasma clearance of a number of drugs, such as cyclosporine and <e2> innadivir </e2>, which are known substrates of cyp3a4, although other mechanisms including modulation of gastric absorption and drug transporters cannot be ruled out",st. john's wort,innadivir,POSITIVE,3
210,"<e1> khat </e1> chewing has been shown to reduce the bioavailabilities of orally co-administered antibiotics, ampicillin, <e2> amoxicillin </e2>, cephradine and tetracyclinehcl, and the antimalarial drug, chloroquine",khat,amoxicillin,POSITIVE,3
211,"in vitro studies from our laboratory suggest that short-term exposure with pure herbal agents such as <e1> hypericin </e1>, kaempferol and quercetin or extract of sjw resulted in higher uptake or influx of ritonavir and <e2> erythromycin </e2>",hypericin,erythromycin,POSITIVE,3
212,<e1> ginkgo </e1> and ginger did not affect the apparent volumes of distribution or protein binding of either s-warfarin or <e2> r-warfarin </e2>,ginkgo,r-warfarin,NEGATIVE,3
213,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, radix rehmanniae, <e1> akebia caulis </e1>, and semen plantaginis in concomitant use with quetiapine, <e2> clozapine </e2>, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",akebia caulis,clozapine,POSITIVE,3
214,"<e1> radix bupleuri </e1> and vinegar-baked <e1> radix bupleuri </e1> have strong induction effects on the cyp2e1, cyp2d6 and cyp3a4, however, have no impact on <e2> cyp1a2 </e2>",radix bupleuri,cyp1a2,NEGATIVE,3
215,"interactions of several commonly used herbal medicines, such as ginko biloba, <e1> milk thistle </e1>, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, <e2> irinotecan </e2>, and imatinib in humans have been reported",milk thistle,irinotecan,POSITIVE,3
216,"other herbal remedies with the potential to modulate <e2> cytochrome p450 </e2> activity and thus participate in interactions with conventional drugs include milk thistle, angelica dahurica, ginseng, garlic preparations, <e1> danshen </e1> and liquorice",danshen,cytochrome p450,POSITIVE,3
217,"for example, <e1> st. john's wort </e1> is a potent inducer of <e2> cyp3a4 </e2>, which is mediated by activating the orphan pregnane x receptor",st. john's wort,cyp3a4,POSITIVE,3
218,"in vitro studies from our laboratory suggest that short-term exposure with pure herbal agents such as hypericin, kaempferol and quercetin or extract of <e1> sjw </e1> resulted in higher uptake or influx of <e2> ritonavir </e2> and erythromycin",sjw,ritonavir,POSITIVE,3
219,"the aim was to evaluate antibiotic modulatory effect of crude extracts from agrimonia eupatoria, <e1> hypericum alpestre </e1>, rumex obtusifolius and sanguisorba officinalis herbs towards several <e2> commercial antibiotics </e2> using some gram-positive and gram-negative bacteria",hypericum alpestre,commercial antibiotics,POSITIVE,3
220,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and <e1> st. john's wort </e1>, with therapeutic drugs including <e2> warfarin </e2>, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",st. john's wort,warfarin,POSITIVE,3
221,"in this article, the modulatory effects of extracts from <e1> vinegar-baked radix bupleuri </e1> (vbrb) and saikosaponins on the activity of <e2> cyp1a2 </e2>, cyp2c9 and cyp3a4 were investigated in vitro",vinegar-baked radix bupleuri,cyp1a2,SPECULATIVE,3
222,". methods: six probe drugs (caffeine, midazolam, dextromethorphan, <e1> tolbutamide </e1>, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of <e2> radix bupleuri </e2> or vinegar-baked <e2> radix bupleuri </e2> for seven days",tolbutamide,radix bupleuri,SPECULATIVE,3
223,. paniculata extract (ape) and <e1> andrographolide </e1> on the expression of <e2> drug-metabolizing enzymes </e2> in rat liver and determined whether modulation of these enzymes changed the pharmacokinetics of tolbutamide,andrographolide,drug-metabolizing enzymes,SPECULATIVE,3
224,<e1> cyclosporine </e1> blood levels (trough levels) remained stable over the years.drug interaction: in 1995 the female patient started self-medication with <e2> st john's wort </e2> because of medium reactive depression,cyclosporine,st john's wort,NEGATIVE,3
225,"methods: this was an open label, three-way crossover randomized study in 12 healthy male subjects, who received a single 25 mg dose of <e2> warfarin </e2> alone or after 7 days pretreatment with recommended doses of <e1> ginkgo </e1> or ginger from herbal medicine products of known quality",ginkgo,warfarin,SPECULATIVE,3
226,. john's wort (<e1> sjw </e1>) is marketed as a natural antidepressant and patients often self-administer it concomitantly with <e2> oncology medications </e2>,sjw,oncology medications,SPECULATIVE,3
227,"interactions of several commonly used herbal medicines, such as <e1> ginko biloba </e1>, milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, <e2> tacrolimus </e2>, irinotecan, and imatinib in humans have been reported",ginko biloba,tacrolimus,POSITIVE,3
228,.001) improvement was observed in the activities of enzymatic and non-enzymatic antioxidants in patients treated with <e1> sesame </e1> oil and its combination with <e2> glibenclamide </e2>. conclusions: <e1> sesame </e1> oil exhibited synergistic effect with <e2> glibenclamide </e2> and can provide a safe and effective option for the drug combination that may be very useful in clinical practice for the effective improvement of hyperglycemia,sesame,glibenclamide,POSITIVE,3
229,synergistic effects (ci < 1) for <e1> p. emblica </e1>/doxorubicin or <e2> cisplatin </e2> at different dose levels were demonstrated in a549 and hepg2 cells,p. emblica,cisplatin,POSITIVE,3
230,"<e1> khat </e1> chewing has been shown to reduce the bioavailabilities of orally co-administered antibiotics, ampicillin, amoxicillin, cephradine and tetracyclinehcl, and the antimalarial drug, <e2> chloroquine </e2>",khat,chloroquine,POSITIVE,3
231,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and <e1> st. john's wort </e1>, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, <e2> saquinavir </e2>, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported",st. john's wort,saquinavir,POSITIVE,3
232,"in contrast, many organosulfur compounds, such as diallyl sulfide from <e1> garlic </e1>, are potent inhibitors of <e2> cyp2e1 </e2>; this may provide an explanation for <e1> garlic </e1>'s chemoproventive effects, as many mutagens require activation by <e2> cyp2e1 </e2>",garlic,cyp2e1,POSITIVE,3
233,"moreover, <e1> ligustilide </e1>, schisantherin a, berberine hydrochloride and trans-resveratrol were identified for the first time as efficacious pxr agonists. conclusions: twenty-two tcm ethanol extracts and eight bioactive compounds could activate pxr signalling pathway and induce <e2> cyp3a4 </e2> reporter gene",ligustilide,cyp3a4,POSITIVE,3
234,"aim: to examine the growth inhibitory effects of phyllanthus emblica (<e1> p. emblica </e1>) and terminalia bellerica (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with <e2> doxorubicin </e2> or cisplatin",p. emblica,doxorubicin,SPECULATIVE,3
235,readministration of <e1> felodipine </e1> with <e2> grapefruit </e2> juice produced mean <e1> felodipine </e1> auc (61,felodipine,grapefruit,NEGATIVE,3
236,serum pools prepared from samples from patients receiving <e1> digoxin </e1> and then supplemented with asian or <e2> siberian ginseng </e2> showed falsely increased <e1> digoxin </e1> values using the fpia (e,digoxin,siberian ginseng,POSITIVE,3
237,".32) for <e1> ginkgo </e1> treatment, and 1.00 (0.81-1.23) for ginger coadministration suggesting these herbs did not affect <e2> cyp2c9 </e2> activity",ginkgo,cyp2c9,NEGATIVE,3
238,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, radix rehmanniae, akebia caulis, and <e1> semen plantaginis </e1> in concomitant use with <e2> quetiapine </e2>, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes",semen plantaginis,quetiapine,POSITIVE,3
239,"previous in vitro studies indicate that <e1> curcuminoids </e1> and piperine (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cyp3a, cyp2c9, <e2> ugt </e2> and sult dependent drug metabolism",curcuminoids,ugt,POSITIVE,3
240,"the aim was to evaluate antibiotic modulatory effect of crude extracts from agrimonia eupatoria, hypericum alpestre, <e1> rumex obtusifolius </e1> and sanguisorba officinalis herbs towards several <e2> commercial antibiotics </e2> using some gram-positive and gram-negative bacteria",rumex obtusifolius,commercial antibiotics,POSITIVE,3
241,"herbal medicine regimens containing radix bupleuri, fructus gardenia, <e1> fructus schisandrae </e1>, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, clozapine, and <e2> olanzepine </e2> were associated with nearly 60% of the risk of adverse outcomes",fructus schisandrae,olanzepine,POSITIVE,3
242,"<e1> anticoagulants </e1>, nsaids, anti-platelet agents: <e2> lavender </e2> contains varying amounts of coumarins and may therefore theoretically increase the effect of anticoagulant medications",anticoagulants,lavender,POSITIVE,3
243,. methods: colorectal carcinoma (ht29) and human hepatocellular carcinoma (hepg2) cells were treated with spray-dried extracts of <e1> phyllanthus niruri </e1> (sdepn) either alone or in combination with <e2> cisplatin </e2> at different concentrations (0,phyllanthus niruri,cisplatin,SPECULATIVE,3
244,". results: compared with placebo, the curcuminoid/<e1> piperine </e1> treatment produced no meaningful changes in plasma c(max), auc, clearance, elimination half-life or metabolite levels of midazolam, flurbiprofen or <e2> paracetamol </e2> (α = 0",piperine,paracetamol,NEGATIVE,3
245,. conclusion: <e1> echinacea </e1> significantly reduced plasma concentrations of <e2> s-warfarin </e2>,echinacea,s-warfarin,POSITIVE,3
246,"the mean (95% ci) apparent clearances of s-<e1> warfarin </e1> after <e1> warfarin </e1> alone, with <e2> ginkgo </e2> or ginger were 189 (167-210) ml h(-1), 200 (173-227) ml h(-1) and 201 (171-231) ml h(-1), respectively",warfarin,ginkgo,SPECULATIVE,3
247,"aim: to explore the potential interactions between <e1> yin zhi huang </e1> (yzh) and <e2> omeprazole </e2>, a substrate of cyp3a4 and cyp2c19",yin zhi huang,omeprazole,SPECULATIVE,3
248,"prospective simulations with grapefruit juice and <e1> turmeric </e1> showed clinically minor to insignificant changes in exposure (<1.50-fold) to <e2> acalabrutinib </e2>, osimertinib and olaparib, but predicted 1",turmeric,acalabrutinib,POSITIVE,3
249,aim: to assess the effects of radix bupleuri and <e1> vinegar-baked radix bupleuri </e1> on <e2> cytochrome 450 </e2> activity of rats,vinegar-baked radix bupleuri,cytochrome 450,SPECULATIVE,3
250,".0 years, and their most-used medications were metformin, <e2> atorvastatin </e2>, and aspirin, while their most-used herbs were ginger (74.7%), mint (72%), and <e1> cumin </e1> (66",cumin,atorvastatin,SPECULATIVE,3
